num_muestra,opc,LI,LS
1,OPINION_SI,95.38,98.25
1,OPINION_NO,1.36,1.81
1,NULOS,0.16,3.04
1,PART,6.91,7.4
2,OPINION_SI,97.42,97.97
2,OPINION_NO,1.42,1.88
2,NULOS,0.56,0.75
2,PART,6.75,7.09
3,OPINION_SI,97.67,97.94
3,OPINION_NO,1.46,1.63
3,NULOS,0.56,0.74
3,PART,7.11,7.49
4,OPINION_SI,97.47,97.9
4,OPINION_NO,1.47,1.66
4,NULOS,0.58,0.92
4,PART,6.86,7.26
5,OPINION_SI,97.73,97.95
5,OPINION_NO,1.48,1.64
5,NULOS,0.55,0.65
5,PART,6.93,7.26
6,OPINION_SI,97.39,97.98
6,OPINION_NO,1.43,1.58
6,NULOS,0.53,1.1
6,PART,6.92,7.3
7,OPINION_SI,97.79,98.03
7,OPINION_NO,1.4,1.56
7,NULOS,0.54,0.68
7,PART,7,7.49
8,OPINION_SI,97.35,97.96
8,OPINION_NO,1.49,1.7
8,NULOS,0.46,1.04
8,PART,6.8,7.14
9,OPINION_SI,97.51,97.96
9,OPINION_NO,1.49,1.83
9,NULOS,0.53,0.69
9,PART,7.02,7.46
10,OPINION_SI,97.62,98.05
10,OPINION_NO,1.43,1.59
10,NULOS,0.46,0.85
10,PART,6.86,7.21
11,OPINION_SI,97.8,98.03
11,OPINION_NO,1.42,1.6
11,NULOS,0.52,0.63
11,PART,6.99,7.42
12,OPINION_SI,97.38,97.94
12,OPINION_NO,1.4,1.73
12,NULOS,0.55,1
12,PART,6.97,7.39
13,OPINION_SI,97.42,97.91
13,OPINION_NO,1.47,1.81
13,NULOS,0.53,0.87
13,PART,6.96,7.33
14,OPINION_SI,97.4,98
14,OPINION_NO,1.45,1.65
14,NULOS,0.47,1.02
14,PART,6.9,7.31
15,OPINION_SI,97.46,98.03
15,OPINION_NO,1.44,1.61
15,NULOS,0.47,1
15,PART,6.95,7.35
16,OPINION_SI,97.51,98.03
16,OPINION_NO,1.4,1.87
16,NULOS,0.53,0.65
16,PART,6.8,7.14
17,OPINION_SI,97.51,97.95
17,OPINION_NO,1.43,1.59
17,NULOS,0.55,0.97
17,PART,6.94,7.37
18,OPINION_SI,96.2,97.94
18,OPINION_NO,1.5,2.01
18,NULOS,0.34,2.03
18,PART,7.07,7.51
19,OPINION_SI,97.65,97.94
19,OPINION_NO,1.51,1.76
19,NULOS,0.51,0.62
19,PART,6.73,7.09
20,OPINION_SI,97.71,98.03
20,OPINION_NO,1.43,1.73
20,NULOS,0.5,0.59
20,PART,6.95,7.29
21,OPINION_SI,97.83,98.08
21,OPINION_NO,1.39,1.54
21,NULOS,0.49,0.68
21,PART,6.81,7.18
22,OPINION_SI,97.5,97.85
22,OPINION_NO,1.52,1.72
22,NULOS,0.58,0.83
22,PART,6.96,7.4
23,OPINION_SI,97.79,98.05
23,OPINION_NO,1.38,1.57
23,NULOS,0.53,0.69
23,PART,7.08,7.5
24,OPINION_SI,97.75,97.98
24,OPINION_NO,1.43,1.59
24,NULOS,0.57,0.68
24,PART,6.92,7.35
25,OPINION_SI,97.53,97.93
25,OPINION_NO,1.46,1.64
25,NULOS,0.55,0.89
25,PART,6.93,7.39
26,OPINION_SI,97.49,97.97
26,OPINION_NO,1.44,1.62
26,NULOS,0.52,0.96
26,PART,6.97,7.38
27,OPINION_SI,97.65,97.97
27,OPINION_NO,1.45,1.65
27,NULOS,0.54,0.75
27,PART,7.09,7.5
28,OPINION_SI,95.65,98.45
28,OPINION_NO,1.43,1.65
28,NULOS,0,2.83
28,PART,6.91,7.37
29,OPINION_SI,97.67,98
29,OPINION_NO,1.43,1.63
29,NULOS,0.52,0.74
29,PART,7.04,7.44
30,OPINION_SI,97.41,97.9
30,OPINION_NO,1.47,1.68
30,NULOS,0.56,0.99
30,PART,6.87,7.18
31,OPINION_SI,97.78,98.02
31,OPINION_NO,1.47,1.65
31,NULOS,0.48,0.6
31,PART,6.97,7.36
32,OPINION_SI,97.51,97.92
32,OPINION_NO,1.44,1.77
32,NULOS,0.56,0.8
32,PART,6.79,7.2
33,OPINION_SI,97.48,98.01
33,OPINION_NO,1.39,1.85
33,NULOS,0.55,0.71
33,PART,6.9,7.31
34,OPINION_SI,97.86,98.07
34,OPINION_NO,1.39,1.54
34,NULOS,0.52,0.62
34,PART,6.83,7.15
35,OPINION_SI,97.86,98.09
35,OPINION_NO,1.41,1.6
35,NULOS,0.48,0.56
35,PART,6.99,7.47
36,OPINION_SI,97.76,98.02
36,OPINION_NO,1.41,1.62
36,NULOS,0.53,0.64
36,PART,6.95,7.38
37,OPINION_SI,97.47,97.95
37,OPINION_NO,1.44,1.64
37,NULOS,0.54,0.96
37,PART,7.1,7.51
38,OPINION_SI,97.57,97.91
38,OPINION_NO,1.48,1.65
38,NULOS,0.55,0.84
38,PART,6.76,7.13
39,OPINION_SI,97.7,98.06
39,OPINION_NO,1.43,1.58
39,NULOS,0.45,0.78
39,PART,6.85,7.23
40,OPINION_SI,97.5,97.9
40,OPINION_NO,1.49,1.86
40,NULOS,0.57,0.68
40,PART,6.91,7.28
41,OPINION_SI,97.77,98
41,OPINION_NO,1.42,1.6
41,NULOS,0.54,0.67
41,PART,6.94,7.32
42,OPINION_SI,97.67,97.95
42,OPINION_NO,1.45,1.65
42,NULOS,0.56,0.72
42,PART,6.92,7.36
43,OPINION_SI,96.41,98.18
43,OPINION_NO,1.48,1.62
43,NULOS,0.25,2.05
43,PART,6.85,7.24
44,OPINION_SI,97.62,97.89
44,OPINION_NO,1.5,1.7
44,NULOS,0.58,0.71
44,PART,6.99,7.35
45,OPINION_SI,97.67,98.04
45,OPINION_NO,1.46,1.62
45,NULOS,0.45,0.77
45,PART,6.87,7.19
46,OPINION_SI,95.4,98.64
46,OPINION_NO,1.4,1.61
46,NULOS,0,3.11
46,PART,6.77,7.21
47,OPINION_SI,97.34,97.93
47,OPINION_NO,1.52,1.71
47,NULOS,0.47,1.02
47,PART,6.78,7.09
48,OPINION_SI,95.81,98.58
48,OPINION_NO,1.41,1.58
48,NULOS,0,2.71
48,PART,7,7.42
49,OPINION_SI,97.69,97.95
49,OPINION_NO,1.48,1.64
49,NULOS,0.54,0.71
49,PART,6.9,7.29
50,OPINION_SI,97.64,97.97
50,OPINION_NO,1.43,1.58
50,NULOS,0.56,0.82
50,PART,7.05,7.48
51,OPINION_SI,97.53,97.95
51,OPINION_NO,1.43,1.65
51,NULOS,0.55,0.9
51,PART,6.94,7.32
52,OPINION_SI,97.51,97.89
52,OPINION_NO,1.51,1.74
52,NULOS,0.58,0.77
52,PART,6.88,7.27
53,OPINION_SI,97.59,97.96
53,OPINION_NO,1.45,1.66
53,NULOS,0.54,0.81
53,PART,6.98,7.46
54,OPINION_SI,97.52,98.1
54,OPINION_NO,1.34,1.49
54,NULOS,0.5,1.05
54,PART,7,7.45
55,OPINION_SI,97.36,97.96
55,OPINION_NO,1.47,1.68
55,NULOS,0.48,1.04
55,PART,6.96,7.38
56,OPINION_SI,97.01,97.82
56,OPINION_NO,1.5,1.74
56,NULOS,0.57,1.36
56,PART,6.92,7.34
57,OPINION_SI,97.6,98.04
57,OPINION_NO,1.43,1.58
57,NULOS,0.47,0.88
57,PART,6.99,7.36
58,OPINION_SI,97.46,97.91
58,OPINION_NO,1.47,1.69
58,NULOS,0.54,0.93
58,PART,7.04,7.48
59,OPINION_SI,97.74,98
59,OPINION_NO,1.4,1.58
59,NULOS,0.56,0.72
59,PART,7,7.42
60,OPINION_SI,97.65,98.1
60,OPINION_NO,1.37,1.58
60,NULOS,0.46,0.85
60,PART,7.04,7.51
61,OPINION_SI,95.34,98.51
61,OPINION_NO,1.45,1.69
61,NULOS,0,3.11
61,PART,6.94,7.41
62,OPINION_SI,97.29,97.89
62,OPINION_NO,1.47,1.69
62,NULOS,0.55,1.12
62,PART,6.87,7.21
63,OPINION_SI,97.61,97.97
63,OPINION_NO,1.42,1.6
63,NULOS,0.55,0.85
63,PART,6.89,7.23
64,OPINION_SI,97.47,97.99
64,OPINION_NO,1.41,1.84
64,NULOS,0.51,0.79
64,PART,6.84,7.23
65,OPINION_SI,97.62,97.92
65,OPINION_NO,1.47,1.66
65,NULOS,0.56,0.77
65,PART,7.02,7.45
66,OPINION_SI,97.55,97.93
66,OPINION_NO,1.47,1.82
66,NULOS,0.56,0.67
66,PART,6.9,7.24
67,OPINION_SI,97.56,98.01
67,OPINION_NO,1.42,1.74
67,NULOS,0.48,0.78
67,PART,6.92,7.34
68,OPINION_SI,97.5,97.96
68,OPINION_NO,1.44,1.59
68,NULOS,0.54,0.97
68,PART,6.95,7.31
69,OPINION_SI,97.71,98
69,OPINION_NO,1.46,1.68
69,NULOS,0.49,0.67
69,PART,6.98,7.35
70,OPINION_SI,97.69,98.02
70,OPINION_NO,1.4,1.56
70,NULOS,0.53,0.8
70,PART,6.93,7.31
71,OPINION_SI,97.47,98.07
71,OPINION_NO,1.43,1.59
71,NULOS,0.44,1.01
71,PART,6.88,7.23
72,OPINION_SI,97.82,98.03
72,OPINION_NO,1.4,1.56
72,NULOS,0.54,0.65
72,PART,6.96,7.33
73,OPINION_SI,97.62,97.92
73,OPINION_NO,1.46,1.62
73,NULOS,0.58,0.8
73,PART,7.11,7.52
74,OPINION_SI,97.74,98.02
74,OPINION_NO,1.4,1.57
74,NULOS,0.53,0.74
74,PART,7.01,7.41
75,OPINION_SI,97.78,98.01
75,OPINION_NO,1.39,1.57
75,NULOS,0.57,0.68
75,PART,6.87,7.26
76,OPINION_SI,97.83,98.04
76,OPINION_NO,1.39,1.54
76,NULOS,0.54,0.66
76,PART,6.77,7.16
77,OPINION_SI,97.67,97.92
77,OPINION_NO,1.46,1.64
77,NULOS,0.57,0.73
77,PART,6.73,7.07
78,OPINION_SI,97.59,97.92
78,OPINION_NO,1.49,1.67
78,NULOS,0.55,0.78
78,PART,6.93,7.36
79,OPINION_SI,97.79,98.03
79,OPINION_NO,1.41,1.56
79,NULOS,0.52,0.69
