num_muestra,opc,LI,LS
44,NULOS,0.78,7.32
44,PART,6.83,7.18
45,OPINION_SI,97.62,97.91
45,OPINION_NO,1.51,1.73
45,NULOS,0,4.45
45,PART,6.86,7.25
46,OPINION_SI,97.31,97.95
46,OPINION_NO,1.37,1.85
46,NULOS,0.27,3.89
46,PART,6.94,7.35
47,OPINION_SI,97.73,97.98
47,OPINION_NO,1.41,1.57
47,NULOS,0.38,5.33
47,PART,6.93,7.29
48,OPINION_SI,97.81,98.03
48,OPINION_NO,1.41,1.6
48,NULOS,0.98,6.6
48,PART,6.87,7.26
49,OPINION_SI,97.79,97.99
49,OPINION_NO,1.42,1.56
49,NULOS,1.83,8.64
49,PART,6.93,7.26
50,OPINION_SI,97.45,97.99
50,OPINION_NO,1.48,1.66
50,NULOS,1.17,8.04
50,PART,6.92,7.32
51,OPINION_SI,97.46,97.91
51,OPINION_NO,1.43,1.68
51,NULOS,0.55,4.54
51,PART,6.93,7.33
52,OPINION_SI,97.52,97.97
52,OPINION_NO,1.44,1.65
52,NULOS,1.51,8.23
52,PART,7.01,7.39
53,OPINION_SI,97.53,97.98
53,OPINION_NO,1.43,1.61
53,NULOS,1.19,7.35
53,PART,6.72,7.08
54,OPINION_SI,97.52,97.87
54,OPINION_NO,1.5,1.75
54,NULOS,2.01,9.56
54,PART,6.97,7.38
55,OPINION_SI,97.78,98.02
55,OPINION_NO,1.41,1.58
55,NULOS,4.35,13.99
55,PART,6.87,7.21
56,OPINION_SI,97.63,97.95
56,OPINION_NO,1.45,1.73
56,NULOS,3.71,13.67
56,PART,6.97,7.32
57,OPINION_SI,97.81,98.04
57,OPINION_NO,1.39,1.56
57,NULOS,1.54,9.25
57,PART,6.85,7.25
58,OPINION_SI,97.39,98.01
58,OPINION_NO,1.42,1.75
58,NULOS,1.42,7.07
58,PART,7.03,7.44
59,OPINION_SI,97.55,97.91
59,OPINION_NO,1.46,1.62
59,NULOS,1.93,9.12
59,PART,6.88,7.25
60,OPINION_SI,97.39,98.02
60,OPINION_NO,1.32,1.78
60,NULOS,0.43,6.28
60,PART,6.89,7.29
61,OPINION_SI,97.67,97.99
61,OPINION_NO,1.44,1.59
61,NULOS,1.09,7.12
61,PART,6.97,7.36
62,OPINION_SI,97.78,97.98
62,OPINION_NO,1.45,1.62
62,NULOS,0.67,6.57
62,PART,6.84,7.2
63,OPINION_SI,97.74,98
63,OPINION_NO,1.48,1.66
63,NULOS,1.51,9.05
63,PART,6.82,7.21
64,OPINION_SI,95.74,98.56
64,OPINION_NO,1.41,1.67
64,NULOS,1.41,7.73
64,PART,6.88,7.33
65,OPINION_SI,97.8,98.02
65,OPINION_NO,1.44,1.63
65,NULOS,1.52,9
65,PART,7,7.39
66,OPINION_SI,97.46,97.94
66,OPINION_NO,1.42,1.59
66,NULOS,0.49,5.74
66,PART,7.08,7.53
67,OPINION_SI,97.58,97.93
67,OPINION_NO,1.46,1.63
67,NULOS,0.57,0.84
67,PART,6.88,7.3
68,OPINION_SI,97.58,98.02
68,OPINION_NO,1.42,1.64
68,NULOS,0.72,7.03
68,PART,6.86,7.25
69,OPINION_SI,97.73,97.99
69,OPINION_NO,1.42,1.58
69,NULOS,1.56,8.67
69,PART,7.07,7.42
70,OPINION_SI,97.69,98.03
70,OPINION_NO,1.41,1.57
70,NULOS,0.35,6.01
70,PART,7.02,7.4
71,OPINION_SI,97.72,98.04
71,OPINION_NO,1.4,1.55
71,NULOS,2.84,11.01
71,PART,6.98,7.39
72,OPINION_SI,97.4,97.88
72,OPINION_NO,1.48,1.69
72,NULOS,1.65,9
72,PART,6.94,7.35
73,OPINION_SI,97.86,98.05
73,OPINION_NO,1.42,1.56
73,NULOS,0,4.07
73,PART,6.95,7.27
74,OPINION_SI,97.42,98
74,OPINION_NO,1.36,1.81
74,NULOS,2.88,11.04
74,PART,6.95,7.31
75,OPINION_SI,97.53,97.99
75,OPINION_NO,1.4,1.68
75,NULOS,1.5,7.99
75,PART,7.02,7.43
76,OPINION_SI,97.54,97.91
76,OPINION_NO,1.49,1.76
76,NULOS,0.7,6.4
76,PART,6.81,7.14
77,OPINION_SI,97.69,97.97
77,OPINION_NO,1.43,1.6
77,NULOS,0.03,2.59
77,PART,6.96,7.34
78,OPINION_SI,97.6,98.04
78,OPINION_NO,1.39,1.71
78,NULOS,0.74,7.17
78,PART,6.98,7.36
79,OPINION_SI,97.75,98
79,OPINION_NO,1.46,1.66
79,NULOS,2.04,10.31
79,PART,6.84,7.2
80,OPINION_SI,95.61,98.43
80,OPINION_NO,1.48,1.64
80,NULOS,1.58,8.23
80,PART,6.89,7.29
81,OPINION_SI,97.61,98
81,OPINION_NO,1.4,1.57
81,NULOS,0.09,4.7
81,PART,6.96,7.3
82,OPINION_SI,97.55,97.89
82,OPINION_NO,1.48,1.64
82,NULOS,3.51,12.66
82,PART,6.96,7.28
83,OPINION_SI,97.38,97.99
83,OPINION_NO,1.41,1.86
83,NULOS,0,2.92
83,PART,6.93,7.29
84,OPINION_SI,97.56,97.88
84,OPINION_NO,1.48,1.66
84,NULOS,1.65,9
84,PART,6.96,7.37
85,OPINION_SI,97.27,97.75
85,OPINION_NO,1.52,1.77
85,NULOS,1.23,7.68
85,PART,6.87,7.27
86,OPINION_SI,97.58,97.93
86,OPINION_NO,1.43,1.59
86,NULOS,0.42,6.25
86,PART,6.9,7.29
87,OPINION_SI,97.51,97.94
87,OPINION_NO,1.43,1.74
87,NULOS,2.11,9.94
87,PART,6.93,7.28
88,OPINION_SI,97.48,98.01
88,OPINION_NO,1.4,1.74
88,NULOS,0.51,0.86
88,PART,6.95,7.33
89,OPINION_SI,97.58,98
89,OPINION_NO,1.47,1.64
89,NULOS,0.75,6.89
89,PART,6.92,7.33
90,OPINION_SI,97.69,98.05
90,OPINION_NO,1.38,1.54
90,NULOS,0.73,6.1
90,PART,7.1,7.59
91,OPINION_SI,97.53,97.9
91,OPINION_NO,1.51,1.84
91,NULOS,1.05,7.6
91,PART,6.85,7.22
92,OPINION_SI,97.61,97.93
92,OPINION_NO,1.45,1.66
92,NULOS,2.47,10.81
92,PART,6.91,7.28
93,OPINION_SI,97.62,97.98
93,OPINION_NO,1.42,1.57
93,NULOS,1.2,7.94
93,PART,6.89,7.33
94,OPINION_SI,95.42,98.64
94,OPINION_NO,1.43,1.6
94,NULOS,4.56,14.3
94,PART,6.8,7.24
95,OPINION_SI,97.5,97.97
95,OPINION_NO,1.47,1.69
95,NULOS,1.19,7.91
95,PART,6.97,7.35
96,OPINION_SI,96.68,98.36
96,OPINION_NO,1.39,1.54
96,NULOS,3.7,12.71
96,PART,6.95,7.31
97,OPINION_SI,97.45,97.96
97,OPINION_NO,1.4,1.79
97,NULOS,1.95,9.23
97,PART,6.87,7.23
98,OPINION_SI,95.9,98.64
98,OPINION_NO,1.34,1.53
98,NULOS,1.22,7.52
98,PART,7.04,7.51
99,OPINION_SI,97.47,97.92
99,OPINION_NO,1.49,1.66
99,NULOS,3.85,13.02
99,PART,6.86,7.22
100,OPINION_SI,97.65,98.04
100,OPINION_NO,1.41,1.56
100,NULOS,1.69,9.76
100,PART,6.92,7.3
101,OPINION_SI,97.78,98
101,OPINION_NO,1.4,1.56
101,NULOS,0.69,6.14
101,PART,6.88,7.3
102,OPINION_SI,97.44,97.85
102,OPINION_NO,1.55,1.88
102,NULOS,0.34,5.92
102,PART,6.83,7.21
103,OPINION_SI,97.36,97.88
103,OPINION_NO,1.41,1.74
103,NULOS,2.23,10.22
103,PART,6.97,7.39
104,OPINION_SI,97.68,97.97
104,OPINION_NO,1.45,1.61
104,NULOS,0.72,6.49
104,PART,6.87,7.24
105,OPINION_SI,97.22,97.97
105,OPINION_NO,1.41,1.56
105,NULOS,0.96,6.86
105,PART,7,7.37
106,OPINION_SI,97.34,97.89
106,OPINION_NO,1.45,1.82
106,NULOS,1.75,9.44
106,PART,6.75,7.08
107,OPINION_SI,97.78,98
107,OPINION_NO,1.42,1.6
107,NULOS,2.3,10.11
107,PART,7,7.4
108,OPINION_SI,97.38,97.95
108,OPINION_NO,1.43,1.66
108,NULOS,3.39,13.02
108,PART,6.95,7.27
109,OPINION_SI,96.53,98.25
109,OPINION_NO,1.38,1.82
109,NULOS,2.5,9.82
109,PART,7.02,7.45
110,OPINION_SI,97.81,98.09
110,OPINION_NO,1.35,1.51
110,NULOS,1.06,7.34
110,PART,7,7.41
111,OPINION_SI,97.34,97.94
111,OPINION_NO,1.49,1.66
111,NULOS,2.3,10.76
111,PART,6.85,7.22
112,OPINION_SI,97.76,97.99
112,OPINION_NO,1.49,1.68
112,NULOS,3.16,11.96
112,PART,7,7.45
113,OPINION_SI,97.38,97.94
113,OPINION_NO,1.48,1.64
113,NULOS,2.49,10.23
113,PART,6.85,7.19
114,OPINION_SI,97.5,97.87
114,OPINION_NO,1.53,1.75
114,NULOS,1.17,7.83
114,PART,6.79,7.19
115,OPINION_SI,97.57,97.95
115,OPINION_NO,1.43,1.58
115,NULOS,1.69,8.87
115,PART,6.86,7.18
116,OPINION_SI,97.2,97.82
116,OPINION_NO,1.51,2.02
116,NULOS,0.81,6.37
116,PART,6.94,7.36
117,OPINION_SI,97.81,98.02
117,OPINION_NO,1.45,1.63
117,NULOS,0.28,5.07
117,PART,6.83,7.19
118,OPINION_SI,97.66,98.02
118,OPINION_NO,1.45,1.6
118,NULOS,1.65,9.59
118,PART,6.8,7.17
119,OPINION_SI,97.64,98.03
119,OPINION_NO,1.4,1.7
119,NULOS,0.71,6.38
119,PART,6.96,7.3
120,OPINION_SI,97.74,97.99
120,OPINION_NO,1.44,1.62
120,NULOS,1.82,8.59
120,PART,6.91,7.28
121,OPINION_SI,97.76,98.04
121,OPINION_NO,1.41,1.58
121,NULOS,1.86,9.51
121,PART,6.94,7.36
122,OPINION_SI,97.75,98.06
122,OPINION_NO,1.37,1.54
122,NULOS,1.07,7.19
122,PART,6.86,7.24
123,OPINION_SI,97.39,97.88
123,OPINION_NO,1.49,1.79
123,NULOS,0.44,5.4
123,PART,7.03,7.39
124,OPINION_SI,97.67,97.91
124,OPINION_NO,1.51,1.66
124,NULOS,0,2.71
124,PART,6.85,7.16
125,OPINION_SI,97.54,97.98
125,OPINION_NO,1.42,1.64
125,NULOS,0.71,6.36
125,PART,6.87,7.28
