num_muestra,opc,LI,LS
1,OPINION_SI,97.41,97.92
1,OPINION_NO,1.47,1.68
1,NULOS,0.53,0.99
1,PART,6.9,7.42
2,OPINION_SI,97.51,98.01
2,OPINION_NO,1.41,1.76
2,NULOS,0.49,0.81
2,PART,6.84,7.32
3,OPINION_SI,97.43,98.04
3,OPINION_NO,1.42,1.6
3,NULOS,0.47,1.04
3,PART,6.83,7.3
4,OPINION_SI,97.58,98.08
4,OPINION_NO,1.38,1.87
4,NULOS,0.48,0.6
4,PART,7.02,7.53
5,OPINION_SI,97.66,97.98
5,OPINION_NO,1.47,1.68
5,NULOS,0.52,0.69
5,PART,7,7.47
6,OPINION_SI,94.55,98.69
6,OPINION_NO,1.43,1.69
6,NULOS,0,3.91
6,PART,6.99,7.53
7,OPINION_SI,97.62,98
7,OPINION_NO,1.42,1.75
7,NULOS,0.54,0.67
7,PART,6.84,7.3
8,OPINION_SI,97.32,97.98
8,OPINION_NO,1.52,1.75
8,NULOS,0.43,1
8,PART,6.74,7.14
9,OPINION_SI,97.8,98.06
9,OPINION_NO,1.42,1.6
9,NULOS,0.5,0.62
9,PART,6.9,7.39
10,OPINION_SI,97.82,98.09
10,OPINION_NO,1.37,1.56
10,NULOS,0.5,0.66
10,PART,6.75,7.19
11,OPINION_SI,97.43,98
11,OPINION_NO,1.44,1.64
11,NULOS,0.48,1
11,PART,6.82,7.22
12,OPINION_SI,97.06,97.97
12,OPINION_NO,1.35,2.03
12,NULOS,0.54,1.05
12,PART,6.69,7.16
13,OPINION_SI,97.64,98
13,OPINION_NO,1.41,1.57
13,NULOS,0.53,0.84
13,PART,7.1,7.54
14,OPINION_SI,97.28,97.94
14,OPINION_NO,1.44,1.64
14,NULOS,0.53,1.17
14,PART,6.69,7.07
15,OPINION_SI,94.62,98.85
15,OPINION_NO,1.41,1.6
15,NULOS,0,3.9
15,PART,6.84,7.33
16,OPINION_SI,97.48,97.97
16,OPINION_NO,1.45,1.93
16,NULOS,0.52,0.66
16,PART,6.86,7.37
17,OPINION_SI,97.57,98.01
17,OPINION_NO,1.4,1.71
17,NULOS,0.51,0.79
17,PART,6.81,7.36
18,OPINION_SI,97.72,98.03
18,OPINION_NO,1.44,1.68
18,NULOS,0.5,0.63
18,PART,6.88,7.34
19,OPINION_SI,97.41,98.01
19,OPINION_NO,1.47,1.69
19,NULOS,0.43,0.99
19,PART,7.12,7.62
20,OPINION_SI,97.33,98.08
20,OPINION_NO,1.37,2.05
20,NULOS,0.52,0.65
20,PART,6.98,7.49
21,OPINION_SI,97.76,98.04
21,OPINION_NO,1.44,1.63
21,NULOS,0.5,0.63
21,PART,6.96,7.52
22,OPINION_SI,95.77,98.55
22,OPINION_NO,1.37,1.57
22,NULOS,0,2.79
22,PART,6.89,7.43
23,OPINION_SI,97.65,97.99
23,OPINION_NO,1.46,1.76
23,NULOS,0.51,0.63
23,PART,6.85,7.31
24,OPINION_SI,97.69,98.04
24,OPINION_NO,1.41,1.57
24,NULOS,0.5,0.79
24,PART,6.84,7.19
25,OPINION_SI,97.25,97.99
25,OPINION_NO,1.41,1.8
25,NULOS,0.46,1.08
25,PART,7,7.49
26,OPINION_SI,97.49,97.97
26,OPINION_NO,1.44,1.82
26,NULOS,0.49,0.78
26,PART,6.89,7.39
27,OPINION_SI,97.41,97.99
27,OPINION_NO,1.44,1.64
27,NULOS,0.5,1.02
27,PART,6.74,7.21
28,OPINION_SI,97.48,97.94
28,OPINION_NO,1.48,1.88
28,NULOS,0.53,0.69
28,PART,6.84,7.29
29,OPINION_SI,97.83,98.12
29,OPINION_NO,1.34,1.52
29,NULOS,0.49,0.69
29,PART,6.76,7.21
30,OPINION_SI,97.68,98.03
30,OPINION_NO,1.42,1.58
30,NULOS,0.49,0.79
30,PART,6.76,7.19
31,OPINION_SI,97.81,98.07
31,OPINION_NO,1.38,1.56
31,NULOS,0.51,0.67
31,PART,6.99,7.43
32,OPINION_SI,97.85,98.12
32,OPINION_NO,1.35,1.58
32,NULOS,0.5,0.6
32,PART,6.89,7.35
33,OPINION_SI,97.62,98.08
33,OPINION_NO,1.41,1.61
33,NULOS,0.44,0.84
33,PART,6.81,7.25
34,OPINION_SI,97.53,98.07
34,OPINION_NO,1.37,1.61
34,NULOS,0.47,0.94
34,PART,6.82,7.29
35,OPINION_SI,97.5,98.02
35,OPINION_NO,1.37,1.85
35,NULOS,0.53,0.73
35,PART,6.92,7.52
36,OPINION_SI,97.54,97.96
36,OPINION_NO,1.47,1.67
36,NULOS,0.51,0.86
36,PART,6.86,7.22
37,OPINION_SI,97.69,97.95
37,OPINION_NO,1.49,1.67
37,NULOS,0.52,0.67
37,PART,6.96,7.41
38,OPINION_SI,97.74,98.02
38,OPINION_NO,1.45,1.67
38,NULOS,0.51,0.62
38,PART,6.98,7.44
39,OPINION_SI,97.72,98.01
39,OPINION_NO,1.42,1.6
39,NULOS,0.52,0.74
39,PART,6.76,7.15
40,OPINION_SI,97.93,98.15
40,OPINION_NO,1.33,1.5
40,NULOS,0.48,0.6
40,PART,6.84,7.32
41,OPINION_SI,97.57,97.95
41,OPINION_NO,1.45,1.65
41,NULOS,0.54,0.84
41,PART,6.72,7.1
42,OPINION_SI,97.52,97.93
42,OPINION_NO,1.49,1.71
42,NULOS,0.52,0.83
42,PART,6.87,7.36
43,OPINION_SI,97.55,97.93
43,OPINION_NO,1.5,1.74
43,NULOS,0.53,0.74
43,PART,6.77,7.18
44,OPINION_SI,97.56,97.88
44,OPINION_NO,1.53,1.78
44,NULOS,0.56,0.69
44,PART,6.74,7.09
45,OPINION_SI,97.24,97.92
45,OPINION_NO,1.43,1.63
45,NULOS,0.57,1.22
45,PART,6.82,7.3
46,OPINION_SI,97.58,97.95
46,OPINION_NO,1.5,1.74
46,NULOS,0.53,0.7
46,PART,6.92,7.4
47,OPINION_SI,97.84,98.09
47,OPINION_NO,1.37,1.56
47,NULOS,0.51,0.63
47,PART,6.76,7.19
48,OPINION_SI,97.66,97.99
48,OPINION_NO,1.46,1.75
48,NULOS,0.5,0.63
48,PART,6.81,7.28
49,OPINION_SI,97.39,97.91
49,OPINION_NO,1.41,1.65
49,NULOS,0.62,1.02
49,PART,6.98,7.45
50,OPINION_SI,97.12,98
50,OPINION_NO,1.43,1.61
50,NULOS,0.47,1.37
50,PART,6.91,7.43
51,OPINION_SI,97.88,98.14
51,OPINION_NO,1.33,1.53
51,NULOS,0.49,0.62
51,PART,6.89,7.4
52,OPINION_SI,97.38,97.95
52,OPINION_NO,1.47,2.01
52,NULOS,0.5,0.68
52,PART,6.99,7.57
53,OPINION_SI,97.23,98.08
53,OPINION_NO,1.3,1.95
53,NULOS,0.48,0.96
53,PART,6.94,7.37
54,OPINION_SI,97.52,97.98
54,OPINION_NO,1.47,1.67
54,NULOS,0.49,0.87
54,PART,6.89,7.31
55,OPINION_SI,97.64,97.98
55,OPINION_NO,1.45,1.64
55,NULOS,0.51,0.78
55,PART,6.97,7.45
56,OPINION_SI,97.75,98.02
56,OPINION_NO,1.45,1.65
56,NULOS,0.51,0.63
56,PART,6.93,7.33
57,OPINION_SI,97.76,98.13
57,OPINION_NO,1.39,1.73
57,NULOS,0.43,0.55
57,PART,6.86,7.48
58,OPINION_SI,97.73,97.98
58,OPINION_NO,1.42,1.61
58,NULOS,0.57,0.7
58,PART,6.84,7.29
59,OPINION_SI,97.76,98.02
59,OPINION_NO,1.44,1.63
59,NULOS,0.51,0.64
59,PART,6.86,7.3
60,OPINION_SI,94.4,99.04
60,OPINION_NO,1.37,1.6
60,NULOS,0,4.14
60,PART,6.98,7.71
61,OPINION_SI,97.71,98.05
61,OPINION_NO,1.39,1.59
61,NULOS,0.51,0.74
61,PART,6.8,7.26
62,OPINION_SI,97.56,97.95
62,OPINION_NO,1.45,1.65
62,NULOS,0.54,0.85
62,PART,6.75,7.29
63,OPINION_SI,97.56,97.94
63,OPINION_NO,1.49,1.75
63,NULOS,0.5,0.76
63,PART,6.98,7.45
64,OPINION_SI,94.18,98.87
64,OPINION_NO,1.38,1.7
64,NULOS,0,4.32
64,PART,6.97,7.53
65,OPINION_SI,97.79,98.07
65,OPINION_NO,1.39,1.59
65,NULOS,0.51,0.64
65,PART,6.9,7.54
66,OPINION_SI,97.76,98.01
66,OPINION_NO,1.45,1.65
66,NULOS,0.52,0.63
66,PART,6.74,7.16
67,OPINION_SI,97.57,97.98
67,OPINION_NO,1.44,1.64
67,NULOS,0.51,0.85
67,PART,6.95,7.4
68,OPINION_SI,97.46,97.84
68,OPINION_NO,1.51,1.75
68,NULOS,0.6,0.84
68,PART,6.79,7.3
69,OPINION_SI,97.46,97.92
69,OPINION_NO,1.51,1.79
69,NULOS,0.54,0.78
69,PART,6.89,7.42
70,OPINION_SI,97.59,98.08
70,OPINION_NO,1.38,1.61
70,NULOS,0.47,0.87
70,PART,6.93,7.42
71,OPINION_SI,97.08,97.89
71,OPINION_NO,1.44,1.91
71,NULOS,0.51,1.17
71,PART,6.87,7.27
72,OPINION_SI,97.64,98.06
72,OPINION_NO,1.44,1.71
72,NULOS,0.48,0.66
72,PART,6.87,7.29
73,OPINION_SI,95.56,98.32
73,OPINION_NO,1.48,1.71
73,NULOS,0.07,2.87
73,PART,6.95,7.53
74,OPINION_SI,97.66,98.11
74,OPINION_NO,1.34,1.74
74,NULOS,0.51,0.64
74,PART,6.98,7.54
75,OPINION_SI,97.46,97.87
75,OPINION_NO,1.46,1.71
75,NULOS,0.61,0.89
