num_muestra,opc,LI,LS
1,OPINION_SI,97.49,97.92
1,OPINION_NO,1.47,1.82
1,NULOS,0.29,6.95
1,PART,6.84,7.34
2,OPINION_SI,97.41,98.02
2,OPINION_NO,1.46,1.65
2,NULOS,0.77,7.97
2,PART,6.77,7.18
3,OPINION_SI,97.19,97.88
3,OPINION_NO,1.5,1.71
3,NULOS,0.92,8.88
3,PART,6.9,7.38
4,OPINION_SI,93.35,98.7
4,OPINION_NO,1.32,1.51
4,NULOS,0.18,7.53
4,PART,6.99,7.6
5,OPINION_SI,97.22,97.87
5,OPINION_NO,1.47,1.82
5,NULOS,0.81,9.35
5,PART,6.89,7.36
6,OPINION_SI,97.72,98.02
6,OPINION_NO,1.47,1.7
6,NULOS,0.11,6.8
6,PART,6.82,7.3
7,OPINION_SI,97.46,98.01
7,OPINION_NO,1.45,1.69
7,NULOS,0,4.53
7,PART,6.81,7.39
8,OPINION_SI,97.85,98.1
8,OPINION_NO,1.35,1.52
8,NULOS,0.59,8.3
8,PART,6.8,7.21
9,OPINION_SI,97.37,97.96
9,OPINION_NO,1.47,1.7
9,NULOS,0.32,7.89
9,PART,6.77,7.26
10,OPINION_SI,97.62,97.98
10,OPINION_NO,1.42,1.7
10,NULOS,0,5.74
10,PART,6.79,7.24
11,OPINION_SI,97.72,98.06
11,OPINION_NO,1.35,1.56
11,NULOS,0.15,8.41
11,PART,6.87,7.32
12,OPINION_SI,97.62,97.93
12,OPINION_NO,1.5,1.69
12,NULOS,0.13,8.35
12,PART,6.77,7.16
13,OPINION_SI,97.34,97.97
13,OPINION_NO,1.49,1.69
13,NULOS,0.83,9.58
13,PART,6.74,7.13
14,OPINION_SI,97.63,98.03
14,OPINION_NO,1.36,1.58
14,NULOS,0.79,10.23
14,PART,6.88,7.31
15,OPINION_SI,97.58,98.05
15,OPINION_NO,1.39,1.64
15,NULOS,0.79,9.89
15,PART,6.9,7.39
16,OPINION_SI,97.25,97.94
16,OPINION_NO,1.46,1.66
16,NULOS,0.14,5.2
16,PART,6.91,7.37
17,OPINION_SI,95.59,98.36
17,OPINION_NO,1.4,1.64
17,NULOS,0.1,2.92
17,PART,6.92,7.53
18,OPINION_SI,97.33,98.11
18,OPINION_NO,1.31,1.98
18,NULOS,1.32,11.13
18,PART,6.84,7.26
19,OPINION_SI,97.29,97.86
19,OPINION_NO,1.51,1.9
19,NULOS,0.8,9.06
